__atable_index,file_path,task_name,task_apply_time,task_label,param_dict,family_label,compressed_size_bytes,compression_ratio,lossless_reconstruction,compression_time_seconds,decompression_time_seconds,repetitions,compressed_file_sha256,compression_memory_kb,decompression_memory_kb,bpppc,compression_ratio_dr,compression_efficiency_1byte_entropy,compression_efficiency_2byte_entropy,row_created,row_updated
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'ArithmeticCodec')",data/D1/1_1_0200_s32be-1x2463x2527.raw,ArithmeticCodec,3.5330000001110307e-06,Arithmetic Coder,{},No family,6961302,3.576343046171535,True,10.389999999999999,32.87,1,fed643ae1fcc329c066e8b7c819aa27ed0c5e49dd2608423474b3323a66a149a,3968,3968,8.947687508404963,2.123453683664349,0.9998523432101589,0.7848665184589038,2025-01-19T19:59:37.338588,2025-01-19T19:59:37.339835
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'BWT')",data/D1/1_1_0200_s32be-1x2463x2527.raw,BWT,1.750200000000257e-05,BWT,{},No family,24920320,0.9990242500898865,True,144.05,0.19,1,6e0d6b7b6179d4dc7e6a04d9d44545770b1060aad94fb55f04c336f3e3790ca6,1536,1536,32.03125449369304,0.5931706484908701,0.27930115329552613,0.21924649702255042,2025-01-19T20:01:25.154652,2025-01-19T20:01:25.155911
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",data/D1/1_1_0200_s32be-1x2463x2527.raw,BZIP2__compression_level=9,3.2930000000153115e-06,BZIP2 level 9,{'compression_level': 9},No family,2901954,8.579048461829512,True,1.860196109,0.839897299,1,2a7ee4a8316a04c50f32aec7a841d11bc241024e3b6e8538e1f93c24fee2f755,-1,-1,3.730017395562758,5.0938100242112725,2.3984784446940117,1.8827634292897144,2025-01-19T19:59:02.661016,2025-01-19T19:59:02.661981
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'FSE')",data/D1/1_1_0200_s32be-1x2463x2527.raw,FSE,4.768999999793522e-06,FSE,{},No family,5817465,4.2795279387155745,True,0.13,0.08,1,28299dd30010890b25a99c57a7108f79250b5ffa291b0415779dec0bd4e865a0,1792,1664,7.477460238197263,2.5409697136123723,1.1964445194760203,0.9391879220040007,2025-01-19T19:59:02.956023,2025-01-19T19:59:02.956836
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'FSEHuffman')",data/D1/1_1_0200_s32be-1x2463x2527.raw,FSEHuffman,2.9239999999042254e-06,Huffman (block adaptive),{},No family,6376207,3.9045162743304913,True,0.08,0.05,1,0fbbfdf386757a3eba096dd80b31dee5d5bec6c65b8274f04a024e2fc9ca179a,1920,1792,8.195637500700915,2.3183065378837293,1.0916010280866926,0.8568876237363379,2025-01-19T19:59:03.187948,2025-01-19T19:59:03.188722
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'HuffmanCodec')",data/D1/1_1_0200_s32be-1x2463x2527.raw,HuffmanCodec,3.7769999998715775e-06,Huffman,{},No family,7328763,3.3970267560842125,True,4.3999999999999995,6.539999999999999,1,a31badcf15f15d7fe00425e8bac697bc9ea58b2a349354f31f5d42f9d11d75aa,3968,4224,9.420002342544612,2.016984636425001,0.9497201801304758,0.745513651441724,2025-01-19T19:59:14.256580,2025-01-19T19:59:14.257925
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'LPAQ8__N=9')",data/D1/1_1_0200_s32be-1x2463x2527.raw,LPAQ8__N=9,4.8340000002866645e-06,LPAQ8 N9,{'N': 9},No family,2621424,9.497129804259059,True,28.62,28.119999999999997,1,080f0d9a8944fb8d1f68cabebe8a6a1f82340e95d35d888518d4772f578b6580,597760,598144,3.3694390473266314,5.638920821278816,2.6551500697687844,2.084246144340253,2025-01-19T20:00:11.704150,2025-01-19T20:00:11.705189
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'LZ77Huffman__compression_level=9')",data/D1/1_1_0200_s32be-1x2463x2527.raw,LZ77Huffman__compression_level=9,5.405999999652522e-06,LZ77 Huffman level 9,{'compression_level': 9},No family,4306069,5.7816082371183555,True,30.671772236,0.144174879,1,ab68f723640e61acb9bf4780f07c3ed475aba38e49ac6b5370ee3d5d4133ccfb,-1,-1,5.53479216985987,3.432829890789024,1.616387038037144,1.268835419191147,2025-01-19T19:59:47.823845,2025-01-19T19:59:47.824970
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'Lz4__compression_level=9')",data/D1/1_1_0200_s32be-1x2463x2527.raw,Lz4__compression_level=9,6.9829999999604375e-06,LZ4 level 9,{'compression_level': 9},No family,5720463,4.352095975448141,True,10.86,0.04,1,6bd5dd18e9d51d8edc9a950c3472c2b562bf9aca48aafd52edbce914840c148a,7168,7040,7.352779024296429,2.584056985422334,1.216732651971277,0.955113749478146,2025-01-19T19:59:28.087577,2025-01-19T19:59:28.088698
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'RLECodec__packbits=True')",data/D1/1_1_0200_s32be-1x2463x2527.raw,RLECodec__packbits=True,4.643999999998094e-06,RLE packbits,{'packbits': True},No family,22015598,1.130834783592978,True,0.61,0.33,1,47351cff97be32f9b35c0594b0d8d9fed86ab9d0eaf1fd6e0b72febc30504604,1280,1280,28.29767925808495,0.6714331527583307,0.3161519444756198,0.24817372049948422,2025-01-19T19:59:29.261564,2025-01-19T19:59:29.262596
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'Zfp')",data/D1/1_1_0200_s32be-1x2463x2527.raw,Zfp,3.538999999941339e-06,ZFP,{},No family,5779976,4.30728501294815,True,0.4,0.4,1,1d9574a4558d73c436d4b8b63405f28af55dfdbdf4e7379efc0f55775b889d93,31872,32000,7.429273870617951,2.5574504764379644,1.2042046742916521,0.945279507160757,2025-01-19T19:59:30.190017,2025-01-19T19:59:30.191032
"('data/D1/1_1_0200_s32be-1x2463x2527.raw', 'Zstandard__compression_level=22')",data/D1/1_1_0200_s32be-1x2463x2527.raw,Zstandard__compression_level=22,3.8430000000033715e-06,Zstandard 22,{'compression_level': 22},No family,3513394,7.0860267877727345,True,26.86,0.1,1,477d01b5615d80055b412721988bf37ae6da6ed5e2c12fd8fb0bdd2dfc566e04,420608,26368,4.515929865692502,4.2073284052400615,1.9810684815006703,1.5551039435602736,2025-01-19T19:59:57.427456,2025-01-19T19:59:57.428557
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'ArithmeticCodec')",data/D1/1_1_0400_s32be-1x2463x2527.raw,ArithmeticCodec,5.487999999997939e-06,Arithmetic Coder,{},No family,6584813,3.7808217180958668,True,13.639999999999999,32.85,1,e944bdf37ab52a57acba86f17f3beea5a5e506b0ac467814a1398ee230da0dfc,3968,4096,8.46376856301919,2.244862895119421,0.9998439236640544,0.7769852172678855,2025-01-19T20:00:18.777876,2025-01-19T20:00:18.778922
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'BWT')",data/D1/1_1_0400_s32be-1x2463x2527.raw,BWT,1.2884000000212836e-05,BWT,{},No family,24920320,0.9990242500898865,True,147.24,0.19,1,d0322afe7f75b1dce2bdf58d54e85eca198ed5077ed743457330584fa5b42b73,1536,1536,32.03125449369304,0.5931706484908701,0.2641934480180862,0.20530644708709186,2025-01-19T20:02:05.814743,2025-01-19T20:02:05.815976
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'BZIP2__compression_level=9')",data/D1/1_1_0400_s32be-1x2463x2527.raw,BZIP2__compression_level=9,5.705999999994216e-06,BZIP2 level 9,{'compression_level': 9},No family,2747701,9.060667081316344,True,2.509575398,1.114014309,1,e181d2996497e70c6978b0456c94bf08b661ab5c9a96963e91170c102e912b9f,-1,-1,3.53174878988612,5.379771079531579,2.396106878628378,1.8620302425458217,2025-01-19T19:59:48.314978,2025-01-19T19:59:48.316062
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'FSE')",data/D1/1_1_0400_s32be-1x2463x2527.raw,FSE,4.932999999596177e-06,FSE,{},No family,5437576,4.578511454368638,True,0.18,0.09999999999999999,1,8bb020be483a12f7d58aa6f194ca575596db1dbfdb39725be28567c229cf00d7,1792,1792,6.989171113565052,2.7184911760313786,1.2107941602129466,0.940916018364322,2025-01-19T19:59:48.229281,2025-01-19T19:59:48.230368
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'FSEHuffman')",data/D1/1_1_0400_s32be-1x2463x2527.raw,FSEHuffman,5.661999999517775e-06,Huffman (block adaptive),{},No family,6036238,4.12442385472541,True,0.11,0.08,1,39ce47d483d359f12b8c06c34dd28b3cef810ec5819b332cdc1670a0321bb7e2,1920,1792,7.758659421809219,2.4488766637432122,1.0907100194714114,0.8475978514222595,2025-01-19T19:59:48.541328,2025-01-19T19:59:48.542389
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'HuffmanCodec')",data/D1/1_1_0400_s32be-1x2463x2527.raw,HuffmanCodec,4.487999999636116e-06,Huffman,{},No family,6987573,3.5628971604303814,True,5.38,6.56,1,7c14c8b71b6ca4086483d766ea807a612baa7b9ed29b166714f7ce3327bff93d,3968,4352,8.981454855164708,2.115470189005539,0.9422134504375229,0.7322002016255711,2025-01-19T20:00:00.458984,2025-01-19T20:00:00.460036
"('data/D1/1_1_0400_s32be-1x2463x2527.raw', 'LPAQ8__N=9')",data/D1/1_1_0400_s32be-1x2463x2527.raw,LPAQ8__N=9,4.699000001551212e-06,LPAQ8 N9,{'N': 9},No family,2465915,10.096051161536387,True,27.549999999999997,27.65,1,4e4519393adcdb90d92063906d9aa68c681eecd445c5fe3042c42c45c9816355,549632,549376,3.1695560460224863,5.99453037716223,2.669915737774446,2.074808888170678,2025-01-19T20:00:43.993023,2025-01-19T20:00:43.994052
